name,team,pos,adp,proj_points
Bucky Irving,TB,RB51,191,14.4
Khalil Herbert,IND,RB52,192.2,2.4
Geno Smith,LV,QB24,192.4,16.5
New Orleans Saints,DST,DST13,193.8,
Will Levis,TEN,QB25,195.4,11
Jason Myers,SEA,K11,196.4,8.2
Tampa Bay Buccaneers,DST,DST14,197.6,4.7
Jason Sanders,MIA,K12,199.4,9.8
DeMario Douglas,NE,WR67,203,8.7
Seattle Seahawks,DST,DST15,205.6,6.3
Detroit Lions,DST,DST16,206,5.4
Derek Carr,NO,QB26,218,15.6
Zach Ertz,WAS,TE20,224.6,10.4
Cincinnati Bengals,DST,DST17,159.8,
Los Angeles Chargers,DST,DST18,230,5.3
Taysom Hill,N,TE21,164.5,12.9
Greg Zuerlein,NYJ,K13,181.8,
MarShawn Lloyd,GB,RB53,182,2.8
Jordan Mason,MIN,RB54,187.5,9.6
Hunter Henry,NE,TE22,193,9.1
Braelon Allen,NYJ,RB55,198.5,5
Josh Downs,IND,WR68,200.5,13.1
Daniel Carlson,LV,K14,200.8,8.5
Matt,Gay,K15,201,
Cairo Santos,CHI,K16,202,
Chig Okonkwo,TEN,TE23,202.5,6.7
Ray Davis,BUF,RB56,205.5,6.8
Atlanta Falcons,DST,DST19,208.3,3.1
Las Vegas Raiders,DST,DST20,211.8,
Bryce Young,CAR,QB27,216.5,14.6
Tyrone Tracy Jr.,NYG,RB57,217,10.7
Indianapolis Colts,DST,DST21,218.8,
Justin Fields,NYJ,QB28,221,12
Green Bay Packers,DST,DST22,222.3,5.4
Michael Wilson,ARI,WR69,226.3,7.8
Russell Wilson,NYG,QB29,226.3,16.2
Jonnu Smith,MIA,TE24,227.3,13.1
Kenneth Gainwell,PIT,RB58,229.3,3.6
New York Giants,DST,DST23,230.8,
Clyde Edwards-Helaire,NO,RB59,231.5,
Minnesota Vikings,DST,DST24,233.5,6.9
Mike Gesicki,CIN,TE25,236.5,8.3
Sam Darnold,SEA,QB30,249,18.8
Denver Broncos,DST,DST25,191.3,8.2
Cade Otton,TB,TE26,196,10
Jahan Dotson,PHI,WR70,201,
Kimani Vidal,LAC,RB60,207.3,3.3
Dalvin Cook,,RB61,208,
Dawson Knox,BUF,TE27,212.3,3.7
Quentin Johnston,LAC,WR71,212.7,11.6
Jake Bates,DET,K17,214,9.5
Dameon Pierce,HOU,RB62,215,4
Jermaine Burton,CIN,WR72,215.3,1.1
Ben Sinnott,WAS,TE28,215.7,0.8
Roman Wilson,PIT,WR73,215.7,0
Washington Commanders,DST,DST26,217.3,3.3
Will Reichard,MIN,K18,220.3,10.1
